Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
123.385,45.298,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.335,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.367,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.369,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.371,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.373,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.379,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.381,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.323,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.335,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.337,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.339,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.4,45.303,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.305,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.402,45.305,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.321,45.307,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.307,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.345,45.307,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.309,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.345,45.311,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.32,45.319,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.326,45.319,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.321,45.321,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.326,45.321,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.321,45.275,1987,1,12,373.22,373.22,373.22,31.10166667,4478.64,28.70923077,4851.86,Deforestation
123.319,45.277,2003,1,11,422.24,422.24,422.24,38.38545455,4644.64,35.18666667,5066.88,Deforestation
123.323,45.279,2003,1,11,720.27,720.27,720.27,65.47909091,7922.97,60.0225,8643.24,Deforestation
123.337,45.279,1985,2,28,481.38,240.69,962.76,17.19214286,13478.64,16.046,14441.4,Deforestation
123.339,45.279,1985,2,16,401.62,200.81,803.24,25.10125,6425.92,22.31222222,7229.16,Deforestation
123.323,45.281,2003,1,11,792.41,792.41,792.41,72.03727273,8716.51,66.03416667,9508.92,Deforestation
123.325,45.281,2003,1,11,685.65,685.65,685.65,62.33181818,7542.15,57.1375,8227.8,Deforestation
123.347,45.283,2001,2,12,458,229,916,38.16666667,5496,32.71428571,6412,Deforestation
123.349,45.283,2000,4,11,750.31,187.5775,3001.24,68.21,8253.41,50.02066667,11254.65,Deforestation
123.353,45.283,2001,3,11,636.29,212.0966667,1908.87,57.84454545,6999.19,45.44928571,8908.06,Deforestation
123.321,45.285,2000,1,11,271.05,271.05,271.05,24.64090909,2981.55,22.5875,3252.6,Deforestation
123.323,45.285,2000,1,11,212.06,212.06,212.06,19.27818182,2332.66,17.67166667,2544.72,Deforestation
123.349,45.285,2001,3,11,517.88,172.6266667,1553.64,47.08,5696.68,36.99142857,7250.32,Deforestation
123.353,45.285,1995,2,12,480.71,240.355,961.42,40.05916667,5768.52,34.33642857,6729.94,Deforestation
123.355,45.285,1995,2,13,683.69,341.845,1367.38,52.59153846,8887.97,45.57933333,10255.35,Deforestation
123.357,45.285,1995,1,12,679.85,679.85,679.85,56.65416667,8158.2,52.29615385,8838.05,Deforestation
123.359,45.285,1995,1,15,509.99,509.99,509.99,33.99933333,7649.85,31.874375,8159.84,Deforestation
123.349,45.287,1995,1,14,758.73,758.73,758.73,54.195,10622.22,50.582,11380.95,Deforestation
123.351,45.287,1995,1,14,624.35,624.35,624.35,44.59642857,8740.9,41.62333333,9365.25,Deforestation
123.357,45.287,1995,2,11,701.65,350.825,1403.3,63.78636364,7718.15,53.97307692,9121.45,Deforestation
