Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-122.709,44.04,2004,2,8,851.41,425.705,1702.82,106.42625,6811.28,85.141,8514.1,Fire
-122.739,44.04,2010,3,2,763.71,254.57,2291.13,381.855,1527.42,152.742,3818.55,Fire
-122.749,44.04,2005,2,8,852.23,426.115,1704.46,106.52875,6817.84,85.223,8522.3,Fire
-122.779,44.04,2010,2,3,782.19,391.095,1564.38,260.73,2346.57,156.438,3910.95,Fire
-122.919,44.04,1985,1,7,176.8,176.8,176.8,25.25714286,1237.6,22.1,1414.4,Fire
-123.608,44.04,2000,1,10,467.23,467.23,467.23,46.723,4672.3,42.47545455,5139.53,Fire
-123.838,44.04,1999,1,7,168.91,168.91,168.91,24.13,1182.37,21.11375,1351.28,Fire
-123.528,44.11,2004,3,8,863.54,287.8466667,2590.62,107.9425,6908.32,78.50363636,9498.94,Fire
-123.588,44.11,2004,1,6,330.78,330.78,330.78,55.13,1984.68,47.25428571,2315.46,Fire
-123.638,44.11,2009,1,5,613.3,613.3,613.3,122.66,3066.5,102.2166667,3679.8,Fire
-123.658,44.11,2004,1,10,812.65,812.65,812.65,81.265,8126.5,73.87727273,8939.15,Fire
-123.678,44.11,2005,2,8,761.44,380.72,1522.88,95.18,6091.52,76.144,7614.4,Fire
-123.718,44.11,2001,3,9,823.61,274.5366667,2470.83,91.51222222,7412.49,68.63416667,9883.32,Fire
-123.748,44.11,2006,2,7,573.64,286.82,1147.28,81.94857143,4015.48,63.73777778,5162.76,Fire
-123.768,44.11,1991,1,5,383.88,383.88,383.88,76.776,1919.4,63.98,2303.28,Fire
-123.778,44.11,2002,3,6,764.6,254.8666667,2293.8,127.4333333,4587.6,84.95555556,6881.4,Fire
-123.948,44.11,2007,2,6,755.69,377.845,1511.38,125.9483333,4534.14,94.46125,6045.52,Fire
-123.508,44.1,2006,2,7,991.28,495.64,1982.56,141.6114286,6938.96,110.1422222,8921.52,Fire
-123.668,44.1,2010,2,3,357.42,178.71,714.84,119.14,1072.26,71.484,1787.1,Fire
-123.708,44.1,2005,3,7,699.33,233.11,2097.99,99.90428571,4895.31,69.933,6993.3,Fire
-123.758,44.1,2001,1,8,774.74,774.74,774.74,96.8425,6197.92,86.08222222,6972.66,Fire
-123.948,44.1,2001,2,10,721.28,360.64,1442.56,72.128,7212.8,60.10666667,8655.36,Fire
-123.4,44.292,2005,1,9,398,398,398,44.22222222,3582,39.8,3980,Fire
-123.508,44.3,2009,2,4,317.95,158.975,635.9,79.4875,1271.8,52.99166667,1907.7,Fire
-123.628,44.3,1995,1,7,660.05,660.05,660.05,94.29285714,4620.35,82.50625,5280.4,Fire
-122.548,44.4,1999,2,8,328.52,164.26,657.04,41.065,2628.16,32.852,3285.2,Fire
-122.598,44.4,2009,1,5,736.46,736.46,736.46,147.292,3682.3,122.7433333,4418.76,Fire
-122.848,44.4,2003,4,8,321.87,80.4675,1287.48,40.23375,2574.96,26.8225,3862.44,Fire
-123.368,44.4,2012,1,2,400.21,400.21,400.21,200.105,800.42,133.4033333,1200.63,Fire
-123.398,44.4,2004,1,10,535.06,535.06,535.06,53.506,5350.6,48.64181818,5885.66,Fire
-123.418,44.4,1993,3,9,391.71,130.57,1175.13,43.52333333,3525.39,32.6425,4700.52,Fire
-123.428,44.4,2008,2,5,746.52,373.26,1493.04,149.304,3732.6,106.6457143,5225.64,Fire
-123.438,44.4,2001,3,9,634.41,211.47,1903.23,70.49,5709.69,52.8675,7612.92,Fire
-123.478,44.4,2008,3,4,907.68,302.56,2723.04,226.92,3630.72,129.6685714,6353.76,Fire
-123.488,44.4,2009,3,3,647.82,215.94,1943.46,215.94,1943.46,107.97,3886.92,Fire
-123.528,44.4,2005,2,7,925.51,462.755,1851.02,132.2157143,6478.57,102.8344444,8329.59,Fire
-123.598,44.4,2006,2,7,351.43,175.715,702.86,50.20428571,2460.01,39.04777778,3162.87,Fire
-123.608,44.4,2011,1,3,794.62,794.62,794.62,264.8733333,2383.86,198.655,3178.48,Fire
-123.728,44.4,1998,2,10,582.25,291.125,1164.5,58.225,5822.5,48.52083333,6987,Fire
-123.748,44.4,2005,1,9,784.58,784.58,784.58,87.17555556,7061.22,78.458,7845.8,Fire
-123.758,44.4,1985,1,7,585.02,585.02,585.02,83.57428571,4095.14,73.1275,4680.16,Fire
-123.888,44.4,2001,2,9,654.34,327.17,1308.68,72.70444444,5889.06,59.48545455,7197.74,Fire
-123.958,44.4,2004,1,10,744.5,744.5,744.5,74.45,7445,67.68181818,8189.5,Fire
-123.4,44.892,2005,1,9,468.68,468.68,468.68,52.07555556,4218.12,46.868,4686.8,Fire
-123.4,44.942,2006,1,8,420.36,420.36,420.36,52.545,3362.88,46.70666667,3783.24,Fire
-123.4,45.242,2009,1,5,205.07,205.07,205.07,41.014,1025.35,34.17833333,1230.42,Fire
-123.4,46.192,2007,1,5,205.42,205.42,205.42,41.084,1027.1,34.23666667,1232.52,Fire
123.2,43.2,2013,1,4,698.127,698.127,698.127,174.53175,2792.508,139.6254,3490.635,Fire
123.9,44.5,2009,2,7,1006.374,503.187,2012.748,143.7677143,7044.618,111.8193333,9057.366,Fire
123.8,46.39,2007,2,9,853.358,426.679,1706.716,94.81755556,7680.222,77.578,9386.938,Fire
123.88,46.4,1995,1,10,736.272,736.272,736.272,73.6272,7362.72,66.93381818,8098.992,Fire
123.54,46.74,1996,2,8,451.928,225.964,903.856,56.491,3615.424,45.1928,4519.28,Fire
123.13,46.92,2007,1,7,426.938,426.938,426.938,60.99114286,2988.566,53.36725,3415.504,Fire
122,47,1984,1,2,161.624,161.624,161.624,80.812,323.248,53.87466667,484.872,Fire
123.23,47.2,1995,1,8,533.296,533.296,533.296,66.662,4266.368,59.25511111,4799.664,Fire
124.08,47.29,2011,2,5,573.048,286.524,1146.096,114.6096,2865.24,81.864,4011.336,Fire
124,47.71,1998,1,7,300.26,300.26,300.26,42.89428571,2101.82,37.5325,2402.08,Fire
-122.989,44.01,1987,5,4,-116.46,-23.292,-582.3,-29.115,-465.84,-12.94,-1048.14,Insect
